TIME,lc1,lc2,lc3,lc4,lc5
24.3,6640.0005,6640.0005,1190.0001,940.00006,230.00002
24.4,8090.0005,7500.0005,1520.0001,1060.0001,360.00003
24.5,8670.001,9280.001,2030.0001,1400.0001,480.00003
24.6,9020.001,9870.001,2140.0002,1670.0001,500.00003
24.7,8700.001,8810.001,1850.0001,1360.0001,440.00003
24.8,8450.001,9250.001,1940.0001,1420.0001,540.00006
24.9,9400.001,10430.001,2400.0002,1820.0001,650.00006
25.0,8690.001,8610.001,1860.0001,1420.0001,410.00003
25.1,10420.001,10800.001,2960.0002,1460.0001,510.00003
25.2,10040.001,10310.001,2400.0002,1680.0001,470.00003
25.3,8300.001,8320.001,1530.0001,1080.0001,390.00003
25.4,9040.001,9790.001,2360.0002,1510.0001,570.00006
25.5,8780.001,9420.001,1670.0001,1070.0001,390.00003
25.6,8890.001,8800.001,1870.0001,1160.0001,410.00003
25.7,8910.001,9650.001,1810.0001,1210.0001,310.00003
25.8,9380.001,9280.001,2070.0002,1330.0001,520.00006
25.9,7050.0005,7350.0005,1500.0001,1050.0001,390.00003
26.0,9000.001,9340.001,2130.0002,1330.0001,410.00003
26.1,9050.001,8680.001,2110.0002,1120.0001,500.00003
26.2,10070.001,9940.001,2060.0002,1460.0001,560.00006
26.3,12350.001,14190.001,3590.0002,2190.0002,630.00006
26.4,11000.001,11600.001,2770.0002,1550.0001,480.00003
26.5,12500.001,14250.001,3110.0002,2390.0002,710.00006
26.6,8970.001,7640.0005,1670.0001,1150.0001,380.00003
26.7,6720.0005,6290.0005,1320.0001,1090.0001,370.00003
26.8,6130.0005,5040.0005,820.00006,590.00006,270.00003
26.9,7030.0005,6430.0005,1450.0001,910.00006,390.00003
27.0,9570.001,9250.001,2200.0002,1170.0001,230.00002
27.1,10830.001,11730.001,2380.0002,1520.0001,330.00003
27.2,10310.001,9270.001,1650.0001,950.00006,350.00003
27.3,11360.001,11940.001,2210.0002,1430.0001,470.00003
27.4,10990.001,10870.001,2410.0002,1480.0001,460.00003
27.5,9680.001,9920.001,1910.0001,1210.0001,470.00003
27.6,10280.001,9540.001,1960.0001,1330.0001,350.00003
27.7,9530.001,9430.001,1630.0001,1100.0001,390.00003
27.8,7670.0005,7350.0005,1270.0001,950.00006,310.00003
27.9,8800.001,7200.0005,1520.0001,980.00006,360.00003
28.0,10190.001,11290.001,2260.0002,1460.0001,520.00006
28.1,11700.001,11860.001,2740.0002,2000.0001,670.00006
28.2,11730.001,12440.001,2940.0002,2060.0002,700.00006
28.3,10200.001,9800.001,2190.0002,1500.0001,580.00006
28.4,8890.001,7480.0005,1550.0001,930.00006,270.00003
28.5,10110.001,9840.001,2350.0002,1250.0001,620.00006
28.6,12510.001,13140.001,3160.0002,2200.0002,570.00006
28.7,8630.001,6550.0005,1470.0001,690.00006,340.00003
28.8,7280.0005,6000.0005,1010.00006,800.00006,300.00003
28.9,6100.0005,5690.0005,1060.0001,690.00006,210.00002
29.0,6070.0005,4340.0005,830.00006,500.00003,170.00002
29.1,5780.0005,4850.0005,1190.0001,570.00006,230.00002
29.2,5360.0005,4350.0005,880.00006,460.00003,210.00002
29.3,9620.001,8370.001,1690.0001,1210.0001,450.00003
29.4,9610.001,8970.001,1670.0001,1270.0001,390.00003
29.5,10850.001,9910.001,2170.0002,1450.0001,440.00003
29.6,10660.001,11180.001,2240.0002,1430.0001,450.00003
29.7,11750.001,11690.001,2360.0002,1380.0001,420.00003
29.8,12400.001,12230.001,2670.0002,1910.0001,550.00006
29.9,10630.001,9670.001,1970.0001,1260.0001,410.00003
30.0,9370.001,8280.001,1620.0001,1270.0001,210.00002
30.1,8800.001,8160.0005,1400.0001,1060.0001,260.00003
30.2,10190.001,10110.001,2210.0002,1690.0001,580.00006
30.3,11640.001,11430.001,2800.0002,1550.0001,450.00003
30.4,9760.001,10340.001,2370.0002,1690.0001,390.00003
30.5,7690.0005,6990.0005,1310.0001,930.00006,540.00006
30.6,9070.001,8420.001,1680.0001,1290.0001,400.00003
30.7,9710.001,10290.001,2440.0002,1650.0001,490.00003
30.8,9570.001,9380.001,1950.0001,1420.0001,420.00003
30.9,8900.001,8410.001,1650.0001,920.00006,460.00003
31.0,9890.001,8730.001,1840.0001,1220.0001,410.00003
31.1,11480.001,11370.001,2690.0002,1620.0001,650.00006
31.2,10230.001,10940.001,2290.0002,1540.0001,460.00003
31.3,8150.0005,7350.0005,1730.0001,1120.0001,320.00003
31.4,6090.0005,5550.0005,1130.0001,790.00006,290.00003
31.5,7100.0005,6910.0005,1560.0001,860.00006,340.00003
31.6,9470.001,9390.001,1770.0001,1440.0001,470.00003
31.7,12560.001,13130.001,3250.0002,2080.0002,760.00006
31.8,9540.001,7640.0005,1730.0001,940.00006,440.00003
31.9,10350.001,10140.001,2220.0002,1200.0001,510.00003
32.0,9230.001,8210.001,1620.0001,1000.00006,340.00003
32.1,11100.001,10470.001,2290.0002,1730.0001,460.00003
32.2,11370.001,10540.001,1860.0001,1170.0001,420.00003
32.3,12520.001,12520.001,2370.0002,1390.0001,500.00003
32.4,10990.001,10510.001,2460.0002,1410.0001,530.00006
32.5,10990.001,9700.001,2140.0002,1410.0001,490.00003
32.6,12370.001,12760.001,2830.0002,2020.0001,670.00006
32.7,10650.001,10680.001,2310.0002,1550.0001,610.00006
32.8,9780.001,9360.001,2180.0002,1270.0001,380.00003
32.9,9590.001,8980.001,2160.0002,1330.0001,280.00003
33.0,10460.001,10110.001,2180.0002,1540.0001,580.00006
33.1,9200.001,8880.001,1970.0001,1360.0001,490.00003
33.2,9680.001,9680.001,2060.0002,1390.0001,410.00003
33.3,9930.001,10260.001,2290.0002,1300.0001,400.00003
33.4,9650.001,10740.001,2370.0002,1860.0001,520.00006
33.5,10560.001,11840.001,2740.0002,1670.0001,630.00006
33.6,9650.001,9440.001,2180.0002,1530.0001,520.00006
33.7,8010.0005,7800.0005,1710.0001,1020.00006,360.00003
33.8,8610.001,8580.001,2050.0002,1130.0001,360.00003
33.9,8310.001,7620.0005,1420.0001,1070.0001,360.00003
34.0,9710.001,9680.001,2330.0002,1460.0001,420.00003
34.1,9360.001,9700.001,2200.0002,1430.0001,630.00006
34.2,8210.001,7010.0005,1490.0001,1030.0001,320.00003
34.3,8590.001,8240.001,1770.0001,1440.0001,360.00003
34.4,9270.001,9410.001,1890.0001,1170.0001,490.00003
