TIME,PI
50111.57544383407,70
50111.57559131086,35
50111.575911805034,49
50111.57592719793,146
50111.576004460454,62
50111.57600748539,214
50111.576180920005,59
50111.5761924535,105
50111.57625192404,171
50111.57633322477,75
50111.57644328475,151
50111.57651999593,70
50111.576538830996,179
50111.57657878101,171
50111.57673512399,76
50111.576774939895,67
50111.57683984935,73
50111.57688370347,220
50111.57697118819,42
50111.57702714205,133
50111.57703870535,168
50111.577079728246,71
50111.57723560929,68
50111.57727910578,215
50111.57742983103,66
50111.5774499625,54
50111.57754532993,102
50111.577559515834,79
50111.57756437361,56
50111.577789485455,156
50111.57784676552,46
50111.57793717086,98
50111.578413546085,75
50111.57844416797,55
50111.57847625017,42
50111.57849748433,268
50111.57862968743,107
50111.57865540683,123
50111.578840494156,65
50111.57898250222,302
50111.579027950764,150
50111.579092651606,74
50111.57914984226,154
50111.57932549715,98
50111.579350695014,70
50111.579389601946,121
50111.57943613827,62
50111.5794711411,56
50111.57955652475,75
50111.579631745815,151
50111.57964965701,145
50111.57966685295,115
50111.57987725735,78
50111.57994401455,77
50111.580034822226,37
50111.580128490925,52
50111.580156072974,260
50111.58022412658,85
50111.58023169637,383
50111.58026008308,88
50111.580310463905,128
50111.58041587472,90
50111.58048786223,143
50111.580497950315,90
50111.58052223921,124
50111.58061084151,84
50111.58062590659,105
50111.580700442195,40
50111.58074520528,289
50111.58079689741,116
50111.580843135715,51
