time,band1,band2,band3,band4,band5
23.5,6940.0005,7330.0005,1490.0001,880.00006,320.00003
23.6,6200.0005,5700.0005,1040.0001,750.00006,260.00003
23.7,6790.0005,6560.0005,1540.0001,1040.0001,430.00003
23.8,7200.0005,7330.0005,1370.0001,1260.0001,440.00003
23.9,5940.0005,5300.0005,1070.0001,670.00006,220.00002
24.0,5690.0005,4920.0005,1130.0001,730.00006,230.00002
24.1,7570.0005,7570.0005,1590.0001,1310.0001,440.00003
24.2,6120.0005,6030.0005,1310.0001,860.00006,430.00003
24.3,6540.0005,6660.0005,1190.0001,940.00006,230.00002
24.4,7910.0005,7490.0005,1520.0001,1060.0001,360.00003
24.5,8500.001,9290.001,2030.0001,1400.0001,480.00003
24.6,8860.001,9850.001,2140.0002,1640.0001,500.00003
24.7,8480.001,8810.001,1850.0001,1350.0001,440.00003
24.8,8220.001,9250.001,1940.0001,1410.0001,540.00006
24.9,9160.001,10430.001,2400.0002,1810.0001,650.00006
25.0,8530.001,8590.001,1860.0001,1420.0001,410.00003
25.1,10200.001,10780.001,2960.0002,1440.0001,510.00003
25.2,9900.001,10320.001,2400.0002,1670.0001,470.00003
25.3,8140.0005,8330.001,1530.0001,1070.0001,390.00003
25.4,8870.001,9810.001,2360.0002,1510.0001,570.00006
25.5,8650.001,9430.001,1670.0001,1060.0001,390.00003
25.6,8720.001,8780.001,1870.0001,1170.0001,400.00003
25.7,8770.001,9650.001,1820.0001,1200.0001,310.00003
25.8,9190.001,9270.001,2070.0002,1320.0001,520.00006
25.9,6870.0005,7360.0005,1500.0001,1020.00006,390.00003
26.0,8940.001,9340.001,2130.0002,1340.0001,400.00003
26.1,8890.001,8690.001,2110.0002,1090.0001,500.00003
26.2,9870.001,9940.001,2060.0002,1460.0001,560.00006
26.3,12110.001,14200.001,3570.0002,2190.0002,630.00006
26.4,10830.001,11590.001,2770.0002,1530.0001,480.00003
26.5,12250.001,14250.001,3120.0002,2390.0002,710.00006
26.6,8880.001,7630.0005,1670.0001,1150.0001,380.00003
26.7,6610.0005,6290.0005,1320.0001,1090.0001,370.00003
26.8,6060.0005,5040.0005,820.00006,580.00006,270.00003
26.9,6940.0005,6430.0005,1460.0001,890.00006,390.00003
27.0,9380.001,9240.001,2220.0002,1160.0001,230.00002
27.1,10570.001,11710.001,2380.0002,1480.0001,330.00003
27.2,10060.001,9260.001,1650.0001,950.00006,350.00003
27.3,11150.001,11970.001,2220.0002,1400.0001,470.00003
27.4,10830.001,10870.001,2410.0002,1470.0001,460.00003
27.5,9520.001,9910.001,1910.0001,1210.0001,470.00003
27.6,10110.001,9540.001,1950.0001,1320.0001,350.00003
27.7,9450.001,9370.001,1620.0001,1100.0001,390.00003
27.8,7540.0005,7380.0005,1260.0001,930.00006,320.00003
27.9,8610.001,7200.0005,1520.0001,970.00006,360.00003
28.0,9960.001,11300.001,2260.0002,1450.0001,520.00006
28.1,11520.001,11860.001,2740.0002,1980.0001,670.00006
28.2,11520.001,12460.001,2920.0002,2040.0001,690.00006
28.3,10030.001,9790.001,2190.0002,1500.0001,580.00006
28.4,8720.001,7480.0005,1550.0001,920.00006,270.00003
28.5,9880.001,9850.001,2350.0002,1220.0001,620.00006
28.6,12300.001,13120.001,3160.0002,2180.0002,570.00006
28.7,8430.001,6560.0005,1470.0001,690.00006,340.00003
28.8,7120.0005,6000.0005,1010.00006,800.00006,300.00003
28.9,5980.0005,5680.0005,1060.0001,690.00006,210.00002
29.0,5910.0005,4350.0005,830.00006,490.00003,180.00002
29.1,5640.0005,4850.0005,1190.0001,570.00006,230.00002
29.2,5250.0005,4350.0005,890.00006,460.00003,210.00002
29.3,9310.001,8400.001,1690.0001,1210.0001,450.00003
29.4,9470.001,8940.001,1670.0001,1220.0001,390.00003
29.5,10580.001,9920.001,2170.0002,1430.0001,440.00003
29.6,10500.001,11180.001,2250.0002,1420.0001,450.00003
29.7,11490.001,11680.001,2370.0002,1370.0001,420.00003
29.8,12260.001,12210.001,2680.0002,1880.0001,550.00006
29.9,10280.001,9690.001,1970.0001,1240.0001,410.00003
30.0,9150.001,8280.001,1620.0001,1260.0001,210.00002
30.1,8640.001,8170.0005,1390.0001,1040.0001,260.00003
30.2,9990.001,10100.001,2210.0002,1680.0001,580.00006
30.3,11410.001,11450.001,2800.0002,1530.0001,450.00003
30.4,9560.001,10350.001,2360.0002,1650.0001,390.00003
30.5,7590.0005,6990.0005,1310.0001,920.00006,540.00006
30.6,8780.001,8400.001,1680.0001,1290.0001,400.00003
30.7,9510.001,10280.001,2440.0002,1640.0001,490.00003
30.8,9330.001,9390.001,1950.0001,1410.0001,420.00003
30.9,8760.001,8410.001,1650.0001,920.00006,460.00003
31.0,9710.001,8720.001,1850.0001,1210.0001,410.00003
31.1,11210.001,11370.001,2690.0002,1620.0001,650.00006
31.2,9990.001,10960.001,2290.0002,1540.0001,460.00003
31.3,8030.0005,7350.0005,1730.0001,1110.0001,320.00003
31.4,5990.0005,5550.0005,1130.0001,790.00006,290.00003
31.5,6990.0005,6920.0005,1560.0001,850.00006,340.00003
31.6,9330.001,9410.001,1760.0001,1440.0001,470.00003
31.7,12260.001,13120.001,3240.0002,2040.0001,760.00006
31.8,9390.001,7660.0005,1720.0001,940.00006,440.00003
31.9,10140.001,10140.001,2220.0002,1180.0001,510.00003
32.0,9020.001,8200.001,1630.0001,980.00006,340.00003
32.1,10900.001,10490.001,2290.0002,1710.0001,460.00003
32.2,11100.001,10540.001,1860.0001,1170.0001,420.00003
32.3,12260.001,12520.001,2360.0002,1380.0001,500.00003
32.4,10850.001,10480.001,2470.0002,1390.0001,530.00006
32.5,10750.001,9690.001,2130.0002,1400.0001,490.00003
32.6,12200.001,12750.001,2820.0002,2010.0001,670.00006
32.7,10450.001,10690.001,2310.0002,1550.0001,610.00006
32.8,9560.001,9350.001,2190.0002,1230.0001,380.00003
32.9,9370.001,8990.001,2160.0002,1300.0001,290.00003
33.0,10230.001,10110.001,2170.0002,1520.0001,580.00006
33.1,8990.001,8880.001,1970.0001,1350.0001,490.00003
33.2,9480.001,9700.001,2050.0002,1390.0001,410.00003
33.3,9760.001,10240.001,2300.0002,1290.0001,400.00003
33.4,9520.001,10730.001,2360.0002,1840.0001,520.00006
33.5,10410.001,11830.001,2740.0002,1670.0001,630.00006
33.6,9550.001,9430.001,2180.0002,1490.0001,520.00006
33.7,7810.0005,7800.0005,1720.0001,1010.00006,360.00003
33.8,8440.001,8610.001,2050.0002,1130.0001,360.00003
33.9,8160.0005,7610.0005,1420.0001,1060.0001,360.00003
34.0,9450.001,9700.001,2330.0002,1460.0001,420.00003
34.1,9100.001,9700.001,2200.0002,1430.0001,630.00006
34.2,8030.0005,7000.0005,1490.0001,1010.00006,320.00003
34.3,8470.001,8240.001,1770.0001,1430.0001,360.00003
34.4,9010.001,9390.001,1900.0001,1120.0001,490.00003
34.5,8550.001,9400.001,2200.0002,1640.0001,380.00003
34.6,10970.001,10990.001,2460.0002,1480.0001,700.00006
34.7,11120.001,12280.001,2460.0002,1720.0001,530.00006
34.8,13060.001,14650.001,3660.0002,2290.0002,830.00006
34.9,12790.001,14050.001,2930.0002,1870.0001,750.00006
35.0,13540.001,14260.001,3240.0002,2070.0002,710.00006
35.1,11250.001,11540.001,2620.0002,1710.0001,530.00006
35.2,10820.001,10880.001,2030.0001,1550.0001,640.00006
35.3,11690.001,12230.001,2670.0002,1810.0001,710.00006
35.4,11720.001,11720.001,2640.0002,1740.0001,560.00006
35.5,10290.001,11490.001,2560.0002,1560.0001,560.00006
35.6,9220.001,10040.001,2110.0002,1500.0001,440.00003
35.7,10470.001,11350.001,2740.0002,1900.0001,790.00006
35.8,10180.001,12110.001,2470.0002,1600.0001,510.00003
35.9,11260.001,12070.001,2740.0002,1900.0001,670.00006
36.0,11250.001,11450.001,2670.0002,1800.0001,490.00003
36.1,12460.001,12590.001,2740.0002,2000.0001,670.00006
36.2,9550.001,10490.001,2170.0002,1680.0001,580.00006
36.3,10510.001,12290.001,2950.0002,1690.0001,650.00006
36.4,10270.001,10480.001,2210.0002,1580.0001,630.00006
36.5,12910.001,13210.001,3260.0002,2190.0002,820.00006
36.6,13560.001,15760.001,3920.0002,2610.0002,790.00006
36.7,13380.001,14180.001,3230.0002,2190.0002,790.00006
36.8,10430.001,10010.001,2430.0002,1590.0001,540.00006
36.9,7530.0005,7090.0005,1650.0001,1040.0001,340.00003
37.0,6740.0005,6080.0005,1450.0001,910.00006,340.00003
37.1,8000.0005,7730.0005,1630.0001,1270.0001,280.00003
37.2,9200.001,10100.001,1980.0001,1640.0001,500.00003
